m,n,R,s,seed,ker_dim,s_val,decomp_error,w
3,9,15,14,0,14,0.0024125402497336777,5.468129405333799e-13,2.220446049250313e-16
3,9,15,15,0,15,0.0010485251861249588,1.8138190945095945e-12,2.220446049250313e-16
2,16,15,0,0,0,0.003939258030521686,,
2,16,15,1,0,1,0.004315196701705068,4.867600742552984e-15,1.1102230246251565e-16
2,16,15,2,0,2,0.002082668069588286,2.2924108242511582e-14,1.1102230246251565e-16
2,16,15,3,0,3,0.0030545885894503054,1.88442223817592e-13,1.1102230246251565e-16
2,16,15,4,0,4,0.0024263186218322925,5.89997229798663e-13,6.661338147750939e-16
2,16,15,5,0,5,0.00020105531716901794,5.099031045345821e-13,1.1102230246251565e-16
2,16,15,6,0,6,0.004191976960243113,8.455972235803978e-14,2.220446049250313e-16
2,16,15,7,0,7,0.005161775603593826,1.1301410627740434e-12,2.220446049250313e-16
2,16,15,8,0,8,0.0013357702902279459,2.3405742423401297e-13,2.220446049250313e-16
2,16,15,9,0,9,0.0018028740777024013,1.2625952395065178e-13,1.1102230246251565e-16
2,16,15,10,0,10,0.0014092201354599524,1.141006236338912e-13,1.1102230246251565e-16
2,16,15,11,0,11,0.0020442439736294182,1.027133177614958e-12,1.1102230246251565e-16
2,16,15,12,0,12,0.0017957609510352818,2.7079465977141587e-13,4.440892098500626e-16
2,16,15,13,0,13,5.504847801831108e-05,9.386562351365025e-13,4.440892098500626e-16
2,16,15,14,0,14,0.0008279619595458794,6.805922845585643e-13,2.220446049250313e-16
2,16,15,15,0,15,0.0003675775061280953,1.559193827782494e-12,1.1102230246251565e-16
2,16,16,16,0,16,0.0009332541245553973,8.566273655435388e-13,1.1102230246251565e-16
4,7,15,0,0,0,0.008093667965561418,,
4,7,15,1,0,1,0.008526301672268224,3.635330724038158e-15,1.1102230246251565e-16
4,7,15,2,0,2,0.01311976821377094,7.686600509959234e-14,0.0
4,7,15,3,0,3,0.01388170887785362,6.660176742816792e-14,2.220446049250313e-16
4,7,15,4,0,4,0.0115802278474181,4.43496437680693e-14,1.1102230246251565e-16
4,7,15,5,0,5,0.018248103488921846,2.5075732462727156e-14,1.1102230246251565e-16
4,7,15,6,0,6,0.012853924049176272,2.8078726628552563e-13,2.220446049250313e-16
4,7,15,7,0,7,0.01635608603489005,3.827774130622294e-12,1.1102230246251565e-16
4,7,15,8,0,8,0.014056389129368645,5.274448079605819e-13,3.3306690738754696e-16
4,7,15,9,0,9,0.012192119844667627,1.2975017264784496e-13,3.3306690738754696e-16
4,7,16,10,0,10,0.00031011587769601805,1.2891487595369043e-11,2.220446049250313e-16
4,7,16,11,0,11,0.0014038366053382185,1.1650501172715851e-11,1.1102230246251565e-16
4,7,16,12,0,12,0.0014965862785199637,6.269416847006326e-12,1.1102230246251565e-16
4,7,16,13,0,13,0.0028216745598284056,3.819838153591555e-12,4.440892098500626e-16
4,7,16,14,0,14,0.004338857839588455,3.600664731579684e-12,2.220446049250313e-16
4,7,16,15,0,15,0.004278731550775399,1.102680210494696e-11,2.220446049250313e-16
4,7,16,16,0,16,0.009194097691469174,3.895199533303158e-13,2.220446049250313e-16
3,10,15,0,0,0,0.019429841237730654,,
3,10,16,1,0,1,0.0012064821721100444,3.2339818378849505e-15,0.0
3,10,16,2,0,2,0.001974655711392206,1.5603362700931766e-14,0.0
3,10,16,3,0,3,0.004003587476763869,1.555776608304069e-14,0.0
3,10,16,4,0,4,0.002626376726907745,1.077152830905744e-13,0.0
3,10,16,5,0,5,0.0023585911169816953,5.241493007569719e-13,1.1102230246251565e-16
3,10,16,6,0,6,0.0028344858208272116,1.380218138197608e-13,3.3306690738754696e-16
3,10,16,7,0,7,0.00490489220635388,4.675419779307236e-13,4.440892098500626e-16
3,10,16,8,0,8,0.010832988090663832,5.526103674810547e-13,1.1102230246251565e-16
3,10,16,9,0,9,0.002324865623525565,1.3240512937320802e-13,1.1102230246251565e-16
3,10,16,10,0,10,0.005888155363236171,3.7558554488350125e-13,4.440892098500626e-16
3,10,16,11,0,11,0.014234393728362804,9.10056406941157e-14,2.220446049250313e-16
3,10,16,12,0,12,0.016569657503404483,4.5369143904200424e-13,2.220446049250313e-16
3,10,16,13,0,13,0.006614899136818278,1.1629960427964943e-12,3.3306690738754696e-16
3,10,16,14,0,14,0.007813746414140555,6.447129072233348e-13,3.3306690738754696e-16
